text,label
symptoms include white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
visible signs are tiny yellow specks on leaves,Tomato___Spider_mites Two-spotted_spider_mite
visible signs are green leaves,Corn_(maize)___healthy
the plant is showing no signs of disease,Cherry_(including_sour)___healthy
plant has healthy plant,Peach___healthy
i see yellow spots on upper leaves,Tomato___Leaf_Mold
the plant is showing fruit shriveling and drying,Grape___Black_rot
leaves show yellow halo around spots,Tomato___Septoria_leaf_spot
leaves show black spots on leaves,Grape___Black_rot
visible signs are small tube-like structures under leaves,Apple___Cedar_apple_rust
leaves show leaf drop,"Pepper,_bell___Bacterial_spot"
plant has leaf edges turning brown,Apple___Black_rot
the plant is showing healthy plant,Peach___healthy
symptoms include black rotten spots on fruit,Apple___Black_rot
leaves show reddish brown pustules on leaves,Corn_(maize)___Common_rust_
leaves show dusty white appearance,Squash___Powdery_mildew
i see yellowing of lower leaves,Tomato___Early_blight
the plant is showing yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show target-like lesions,Tomato___Early_blight
plant has asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
leaves show black rotten spots on fruit,Apple___Black_rot
i see reddish brown pustules on leaves,Corn_(maize)___Common_rust_
there are fungal coating on leaves,Squash___Powdery_mildew
symptoms include yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
visible signs are no symptoms,Tomato___healthy
symptoms include dark water soaked lesions,Potato___Late_blight
symptoms include dry leaf patches,Potato___Early_blight
symptoms include target shaped lesions,Tomato___Target_Spot
the plant is showing powdery spores on leaf surface,Corn_(maize)___Common_rust_
leaves show brown circular spots,Tomato___Target_Spot
i see no disease,Strawberry___healthy
i see long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
leaves show brown spots with concentric rings,Potato___Early_blight
symptoms include leaf distortion and curling,Tomato___Tomato_mosaic_virus
leaves show powdery spores on leaf surface,Corn_(maize)___Common_rust_
symptoms include leaf rot,Potato___Late_blight
leaves show yellowing of leaves,Potato___Early_blight
there are powdery spores on leaf surface on leaves,Corn_(maize)___Common_rust_
leaves show powdery spores on leaf surface,Corn_(maize)___Common_rust_
visible signs are mosaic pattern on leaves,Tomato___Tomato_mosaic_virus
plant has white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
plant has leaf edges turning brown,Apple___Black_rot
visible signs are green leaves,Corn_(maize)___healthy
leaves show yellowing of leaves,Potato___Early_blight
there are yellowing of leaves on leaves,Potato___Early_blight
leaves show healthy crop,Corn_(maize)___healthy
leaves show bright orange spots on leaves,Apple___Cedar_apple_rust
the plant is showing dark scabby lesions on fruit,Apple___Apple_scab
plant has green leaves,Soybean___healthy
plant has yellow spots on upper leaves,Tomato___Leaf_Mold
plant has white mold under leaves,Tomato___Late_blight
